Miesiąc estymacji,Stacja,Czyja (w danym miesiącu),Kto (kogo estymacja),Estymacja (wartość liczbowa),channel provys,Nazwa stacji TechEdge,channel nielsen,Share
2026_01,Polsat,Maciej,DT,0.074457635,Polsat,Polsat,Polsat,0.077139
2026_01,Fokus TV,Adam,DT,0.0087592375,Fokus TV,Fokus TV,Fokus TV,0.00905
2026_01,Nowa TV,Adam,DT,0.004378602499999999,Nowa TV,Nowa TV,Nowa TV,0.00404
2026_01,Eleven Sports 1,Adam,DT,0.0019749,Eleven Sports 1,Eleven Sports 1,Eleven Sports 1 [Eleven],0.002738
2026_01,Disco Polo Music,Adam,DT,0.0006225750000000001,Disco Polo Music,Disco Polo Music,Disco Polo Music,0.00074
2026_01,Puls 2,Agata,DT,0.018133185,Puls 2,Puls 2,Puls 2,0.017112
2026_01,Zoom TV,Agata,DT,0.00541648,Zoom TV,ZOOM,ZOOM [Zoom TV],0.003983
2026_01,SPI Kino Polska,Agata,DT,0.0030044975,SPI Kino Polska,Kino Polska,Kino Polska,0.003144
2026_01,History,Agata,DT,0.0029652000000000003,History,History,HISTORY,0.002876
2026_01,CI Polsat,Agata,DT,0.0013470375,CI Polsat,CI Polsat,CI Polsat [Polsat Crime & Investigation Network],0.000882
2026_01,Polsat News,Dariusz,DT,0.01078209,Polsat News,Polsat News,Polsat News,0.010342
2026_01,Stopklatka,Dariusz,DT,0.01193805,Stopklatka,Stopklatka,Stopklatka,0.011416
2026_01,Wydarzenia24,Dariusz,DT,0.0117842625,Wydarzenia24,Wydarzenia24,Wydarzenia 24 [Superstacja],0.010814
2026_01,Puls,Łukasz,DT,0.04009425,Puls,TV PULS,TV PULS [PULS],0.03677
2026_01,Polsat 2,Łukasz,DT,0.00830725,Polsat 2,Polsat2,Polsat2,0.0088
2026_01,Polsat Film,Łukasz,DT,0.0056263575,Polsat Film,Polsat Film,Polsat Film,0.006042
2026_01,Polsat Sport 1,Łukasz,DT,0.00311885,Polsat Sport 1,Polsat Sport 1,Polsat Sport 1 [Polsat Sport],0.00435
2026_01,Polsat Viasat History,Łukasz,DT,0.0019252950000000003,Polsat Viasat History,Polsat Viasat History,Polsat Viasat History [Viasat History],0.001348
2026_01,Polsat Viasat Explore,Łukasz,DT,0.0009431999999999999,Polsat Viasat Explore,Polsat Viasat Explore,Polsat Viasat Explore [Polsat Viasat Explorer],0.001025
2026_01,Szóstka,Piotr,DT,0.016271605,Szóstka,TV6,TV6,0.018304
2026_01,Super Polsat,Piotr,DT,0.01116027,Super Polsat,Super Polsat,Super Polsat [Polsat Sport News],0.011641
2026_01,WPOLSCE24,Piotr,DT,0.006165720000000001,WPOLSCE24,wPolsce24,wPolsce24 [Telewizja WPOLSCE.PL],0.008309
2026_01,AXN,Piotr,DT,0.0029623275,AXN,AXN,AXN,0.002885
2026_01,BBC First,Piotr,DT,0.0017207875,BBC First,BBC First,BBC First [BBC HD],0.002051
2026_01,Polsat Play,Rafał,DT,0.004352104999999999,Polsat Play,Polsat Play,Polsat Play,0.003567
2026_01,Polo TV,Rafał,DT,0.0034123575,Polo TV,Polo TV,Polo TV,0.003395
2026_01,SPI Kino TV,Rafał,DT,0.0028494675000000002,SPI Kino TV,FILMBOX+ One,FILMBOX+ One [Kino TV],0.002601
2026_01,Eska TV,Rafał,DT,0.003706065,Eska TV,Eska TV [8TV],Eska TV [8TV],0.002654
2026_01,AMC,Rafał,DT,0.001880505,AMC,AMC,AMC [MGM],0.002417
2026_01,Czwórka,Wiola,DT,0.030075574999999997,Czwórka,TV4 pl,TV4,0.030407
2026_01,TV Republika,Wiola,DT,0.03273655,TV Republika,Republika,Republika [TV Republika],0.035888
2026_01,WP,Wiola,DT,0.005928480000000001,WP,WP,WP,0.005719
2026_01,Polsat Seriale,Wiola,DT,0.003417075,Polsat Seriale,Polsat Seriale,Polsat Seriale [Polsat Romans],0.003984
2026_01,Polsat Cafe,Wiola,DT,0.00366045,Polsat Cafe,Polsat Cafe,Polsat Cafe,0.003274
2026_01,NBCU 13 Ulica,Wiola,DT,0.0016604775,NBCU 13 Ulica,13 Ulica,13 Ulica [13th Street Universal],0.001607
2026_01,4FUN.TV,Wiola,DT,0.0019874,4FUN.TV,4FUN.TV,4FUN.TV [4fun.tv],0.001643
2026_01,Stars.tv,Wiola,DT,0.0020787525,Stars.tv,Stars.tv,Stars.tv,0.002136
2026_01,BBC Earth,Piotr,DT,0.001458225,BBC Earth,BBC Earth,BBC Earth [BBC Knowledge],0.00163
2026_01,AXN White,Piotr,DT,0.000799425,AXN White,AXN White,AXN White [AXN Crime],0.000732
2026_01,History2,Agata,DT,0.0018830999999999997,History2,History2 [H2],HISTORY2 [H2],0.001773
2026_01,Polsat Doku,Dariusz,DT,0.0013653875,Polsat Doku,Polsat Doku,Polsat Doku,0.001215
2026_01,Polsat Sport 2,Adam,DT,0.0009001575,Polsat Sport 2,Polsat Sport 2,Polsat Sport 2 [Polsat Sport Extra],0.000786
2026_01,Polsat JimJam,Dariusz,DT,0.0009645900000000001,Polsat JimJam,Polsat JimJam,Polsat JimJam [JimJam],0.001101
2026_01,Epic Drama,Łukasz,DT,0.0007902,Epic Drama,Viasat Epic Drama,Viasat Epic Drama [Epic Drama],0.000879
2026_01,NBCU SciFi Universal,Łukasz,DT,0.00096129,NBCU SciFi Universal,Scifi Universal,Scifi Universal,0.00169
2026_01,4FUN KIDS,Wiola,DT,0.00055348,4FUN KIDS,4FUN KIDS,4FUN KIDS [4FUN GOLD],0.00021
2026_01,Polsat News 2,Dariusz,DT,0.0006352525000000001,Polsat News 2,Polsat News 2,Polsat News 2 [Polsat Biznes],0.000762
2026_01,BBC CBeebies,Dariusz,DT,0.00128403,BBC CBeebies,BBC CBeebies,BBC CBeebies,0.001758
